requirement,Component,Shape,Dimension,Color,Functionality,Domain,probable zone,css,type,Zone
content should be grouped in rectangular sections for better organization.,video,rectangular,400x600,black,"media players, tutorials, and marketing","Industry, Automotive, consumer electrnoics",main_content_zone,".video-component {
  width: 400px;
  height: 300px;
  border: 4px solid black; /* Outer video frame */
  background-color: white;
  position: relative;
  display: flex;
  justify-content: center;
  align-items: center;
  border-radius: 12px;
  overflow: hidden;
}

/* Top clapboard bar */
.video-component .clapboard {
  width: 100%;
  height: 50px;
  background-color: lightgray;
  border-bottom: 2px solid black;
  display: flex;
  justify-content: space-evenly;
  align-items: center;
}

/* Diagonal lines on the clapboard */
.video-component .clapboard div {
  width: 30px;
  height: 100%;
  background-color: black;
  clip-path: polygon(0 0, 100% 0, 0% 100%, 0 100%);
}

/* Play button */
.video-component .play-button {
  width: 0;
  height: 0;
  border-left: 40px solid black;
  border-top: 25px solid transparent;
  border-bottom: 25px solid transparent;
  position: absolute;
}",video_icon.png,
The system shall present items in a structured list format with selectable elements.,list,rectangular,50x150,grey,"task lists, messaging, and navigation","Industry, Automotive, consumer electrnoics",main_content_zone,,list_icon.png,
The navigation bar shall provide quick access to primary system functions.,Navigation bar,rectangular,60x800,grey,website/app navigation and menus,"Industry, Automotive, consumer electrnoics",navigation_zone,".hamburger {
  width: 35px;
  height: 25px;
  display: flex;
  flex-direction: column;
  justify-content: space-between;
  cursor: pointer;
}
 
.hamburger div {
  height: 6px;
  background-color: black;
  border-radius: 10px;
  transition: all 0.3s ease;
}",Navigation bar_icon.png,
The system shall provide radio buttons for mutually exclusive selections.,Radio Button,Square,50x50,grey,"surveys, forms, and option selections","Industry, Automotive, consumer electrnoics",main_content_zone,"/* Container for the radio button */
.radio-button {
  width: 24px;
  height: 24px;
  border: 4px solid black; /* Outer ring */
  border-radius: 50%;       /* Makes it circular */
  display: flex;
  justify-content: center;
  align-items: center;
  background-color: white;  /* Background behind inner dot */
}

/* Inner filled circle (selected state) */
.radio-button .inner-circle {
  width: 12px;
  height: 12px;
  background-color: black;  /* Inner dot color */
  border-radius: 50%;       /* Makes it circular */
}",Radio Button_icon.png,
The system shall display banners for promotional or informational messages.,Banner,rectangular,800x200,black,"announcements, promotions, and ads","Industry, Automotive, consumer electrnoics",header_zone,,Banner_icon.png,
The system shall support hierarchical menu structures for intuitive navigation.,Menu,rectangular,40x600,grey,"context menus, dropdowns, and settings","Industry, Automotive, consumer electrnoics",header_zone,".bullet-list {
  display: flex;
  flex-direction: column;
  gap: 12px;
}
 
.bullet-item {
  display: flex;
  align-items: center;
  gap: 12px;
}
 
.bullet-circle {
  width: 20px;
  height: 20px;
  background-color: black;
  border-radius: 50%;
}
 
.bullet-bar {
  width: 160px;
  height: 20px;
  background-color: black;
  border-radius: 10px;
}",Menu_icon.png,
The system shall provide interactive buttons for user actions.,Button,rectangular,36x160,black,"submitting, confirming, and navigation","Industry, Automotive, consumer electrnoics",main_content_zone,,Button_icon.png,
Icons shall visually represent system functions and actions.,Icon,Square,64x64,grey,representing actions and features,"Industry, Automotive, consumer electrnoics",header_zone,,Icon_icon.png,
The system shall provide icon buttons for compact interactions.,Icon button,rectangular,36x200,grey,"quick actions like delete, search, etc","Industry, Automotive, consumer electrnoics",header_zone,,Icon button_icon.png,
The system shall include a toggle switch for binary settings.,Toggle switch button,Square,24x24,grey,"settings (e.g., dark mode, Wi-Fi on/off)","Industry, Automotive, consumer electrnoics",main_content_zone,"{
  ""toggleSwitchWrapper"": {
    ""width"": ""50px"",
    ""height"": ""25px"",
    ""backgroundColor"": ""lightgray"",
    ""borderRadius"": ""25px"",
    ""position"": ""relative"",
    ""cursor"": ""pointer"",
    ""transition"": ""background-color 0.3s""
  },
  ""toggleSwitchKnob"": {
    ""width"": ""23px"",
    ""height"": ""23px"",
    ""backgroundColor"": ""white"",
    ""borderRadius"": ""50%"",
    ""position"": ""absolute"",
    ""top"": ""1px"",
    ""left"": ""1px"",
    ""transition"": ""left 0.3s""
  },
  ""toggleSwitchWrapperOn"": {
    ""backgroundColor"": ""green""
  },
  ""toggleSwitchKnobOn"": {
    ""left"": ""26px""
  }
}",Toggle switch button_icon.png,
The system shall provide a link button for navigation to external content.,Link button,rectangular,24x64,grey,navigating to external/internal pages.,"Industry, Automotive, consumer electrnoics",main_content_zone,"{
  ""component"": ""LinkButtonIcon"",
  ""style"": {
    ""position"": ""relative"",
    ""width"": ""100px"",
    ""height"": ""100px"",
    ""borderRadius"": ""16px"",
    ""border"": ""4px solid black"",
    ""boxSizing"": ""border-box"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""backgroundColor"": ""white""
  },
  ""elements"": {
    ""arrow-line"": {
      ""position"": ""absolute"",
      ""width"": ""60px"",
      ""height"": ""10px"",
      ""backgroundColor"": ""black"",
      ""top"": ""20px"",
      ""left"": ""20px"",
      ""transform"": ""rotate(45deg)"",
      ""transformOrigin"": ""left center""
    },
    ""arrow-head"": {
      ""position"": ""absolute"",
      ""width"": ""0"",
      ""height"": ""0"",
      ""borderTop"": ""10px solid transparent"",
      ""borderBottom"": ""10px solid transparent"",
      ""borderLeft"": ""15px solid black"",
      ""top"": ""10px"",
      ""right"": ""10px"",
      ""transform"": ""rotate(45deg)""
    },
    ""box-corner"": {
      ""position"": ""absolute"",
      ""width"": ""60px"",
      ""height"": ""60px"",
      ""border"": ""8px solid black"",
      ""borderTop"": ""none"",
      ""borderRight"": ""none"",
      ""bottom"": ""0"",
      ""left"": ""0"",
      ""borderRadius"": ""12px""
    }
  }
}",Link button_icon.png,
The system shall support image display with scaling options.,Image,Square,172x172,black,"galleries, product listings, and banners","Industry, Automotive, consumer electrnoics",main_content_zone,".image-component {
  width: 400px;
  height: 300px;
  border: 4px solid black; /* Outer frame */
  background-color: white;
  position: relative;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Inner image frame */
.image-component .inner-frame {
  width: 90%;
  height: 80%;
  border: 2px solid black;
  position: relative;
  background-color: transparent;
}

/* Mountains (as triangles) */
.image-component .mountain1,
.image-component .mountain2 {
  position: absolute;
  bottom: 0;
  border-style: solid;
}

/* Left mountain */
.image-component .mountain1 {
  left: 10%;
  border-width: 0 40px 60px 40px;
  border-color: transparent transparent black transparent;
}

/* Right mountain */
.image-component .mountain2 {
  left: 35%;
  border-width: 0 50px 80px 50px;
  border-color: transparent transparent black transparent;
}

/* Sun (circle) */
.image-component .sun {
  position: absolute;
  top: 10%;
  right: 10%;
  width: 30px;
  height: 30px;
  background-color: black;
  border-radius: 50%;
}",Image_icon.png,
The system shall allow captions for images to provide additional context.,Image with caption,rectangular,172x196,blue,"news articles, blogs, and portfolios","Industry, Automotive, consumer electrnoics",main_content_zone,".image-caption-wrapper {
  width: 400px;
  height: 350px; /* Reference size */
  border: 2px solid black;
  display: flex;
  flex-direction: column;
  align-items: center;
  padding: 10px;
  background-color: white;
  box-shadow: 2px 2px 8px gray;
}

.caption-image {
  width: 100%;
  height: 250px;
  object-fit: cover;
  border-bottom: 1px solid black;
}

.caption-text {
  padding-top: 10px;
  font-size: 16px;
  text-align: center;
  color: black;
}",Image with caption_icon.png,
The system shall display titles with customizable font size and style.,Title,rectangular,"(24px, bold) 24x10 ",blue,headings in sections and articles,"Industry, Automotive, consumer electrnoics",header_zone,,Title_icon.png,
The system shall provide subtitles for additional context under titles.,Sub title,rectangular,"(16px, bold) 16x10",blue,subheadings and descriptions,"Industry, Automotive, consumer electrnoics",header_zone,,Sub title_icon.png,
The system shall support paragraph text with formatting options.,Paragraph,rectangular,"(14px, regular) 14x10",blue,"content, descriptions, and explanations.","Industry, Automotive, consumer electrnoics",main_content_zone,"{
  ""component"": ""ParagraphSymbol"",
  ""style"": {
    ""width"": ""100px"",
    ""height"": ""100px"",
    ""borderRadius"": ""50%"",                  // Circular shape
    ""backgroundColor"": ""white"",             // Background behind the symbol
    ""border"": ""2px solid black"",            // Thin black border
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""fontSize"": ""48px"",                     // Prominent symbol size
    ""fontWeight"": ""bold"",
    ""color"": ""black"",                       // Symbol color
    ""fontFamily"": ""Arial, sans-serif"",
    ""boxShadow"": ""0px 4px 6px rgba(0, 0, 0, 0.1)"", // Subtle shadow
    ""margin"": ""10px""
  },
  ""content"": ""�""
}",Paragraph_icon.png,
The system shall display a loader to indicate ongoing processing.,Loader,circular,64x64,black,"loading screens, AJAX calls, and uploads","Industry, Automotive, consumer electrnoics",main_content_zone,,Loader_icon.png,
The system shall provide a spinner animation for background operations.,Spinner,circular,64x64,grey,processing indicators in UI elements,"Industry, Automotive, consumer electrnoics",main_content_zone,".spinner {
  width: 100px;
  height: 100px;
  border: 8px solid lightgray;
  border-top: 8px solid black;
  border-radius: 50%;
  animation: spin 1s linear infinite;
  margin: auto;
}

/* Spin Animation */
@keyframes spin {
  0% { transform: rotate(0deg); }
  100% { transform: rotate(360deg); }
}",Spinner_icon.png,
The system shall display progress indicators for ongoing tasks.,Progress,rectangular,16x96,black,showing task completion status,"Industry, Automotive, consumer electrnoics",main_content_zone,".progress {
  width: 400px;
  height: 30px;
  background-color: navy;
  border-radius: 5px;
  overflow: hidden;
  position: relative;
}

/* Progress Fill */
.progress::before {
  content: """";
  display: block;
  height: 100%;
  width: 25%; /* example fill */
  background-color: lightblue;
}",Progress_icon.png,
The system shall support a floating section for additional content display.,Floating aside section,rectangular,320x768,black,"side panels with filters, chat, or tools","Industry, Automotive, consumer electrnoics",navigation_zone,,Floating aside section_icon.png,
The system shall display time using analog or digital formats.,Clock (Digital),Square,196x196 ,black,"dashboards, scheduling apps, and timers","Industry, Automotive, consumer electrnoics",header_zone,,Clock (Digital)_icon.png,
The system shall display time using analog or digital formats.,Clock (Analog),circular,196x196 ,black,"dashboards, scheduling apps, and timers","Industry, Automotive, consumer electrnoics",header_zone,".clock {
  width: 300px;
  height: 300px;
  border: 8px solid black;
  border-radius: 50%;
  position: relative;
  background-color: white;
}

/* Center dot */
.clock::before {
  content: """";
  width: 10px;
  height: 10px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  top: 50%;
  left: 50%;
  transform: translate(-50%, -50%);
  z-index: 10;
}

/* Hour Hand */
.clock .hour {
  width: 6px;
  height: 70px;
  background-color: black;
  position: absolute;
  top: 80px;
  left: 147px;
  transform-origin: bottom center;
  transform: rotate(0deg); /* Set dynamically */
  z-index: 5;
}

/* Minute Hand */
.clock .minute {
  width: 4px;
  height: 100px;
  background-color: black;
  position: absolute;
  top: 50px;
  left: 148px;
  transform-origin: bottom center;
  transform: rotate(0deg); /* Set dynamically */
  z-index: 6;
}

/* Tick marks */
.clock .tick {
  width: 2px;
  height: 10px;
  background-color: black;
  position: absolute;
  top: 0;
  left: 149px;
  transform-origin: bottom center;
}",Clock (Analog)_icon.png,
The system shall provide a gauge to represent real-time metrics.,Gauge,Square,150x150,black,"speedometers, fuel levels, and industrial machine performance","Industry, Automotive, consumer electrnoics",main_content_zone,".guage { 
  position: relative; 
  width: 250px; 
  height: 125px; 
  border-top-left-radius: 125px; 
  border-top-right-radius: 125px; 
  background-color: transparent; 
  overflow: hidden; 
  border: 10px solid #222; 
  border-bottom: none; 
  margin: 20px auto; 
} 
 
.ticks { 
  position: absolute; 
  top: 0; 
  left: 0; 
  width: 100%; 
  height: 100%; 
} 
 
.tick { 
  position: absolute; 
  top: 0; 
  left: 50%; 
  width: 6px; 
  height: 30px; 
  background-color: #222; 
  transform-origin: bottom center; 
} 
 
.needle { 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  width: 4px; 
  height: 90px; 
  background-color: #222; 
  transform-origin: bottom center; 
  transition: transform 0.5s ease; 
} 
 
.center-dot { 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  width: 20px; 
  height: 20px; 
  background-color: #222; 
  border-radius: 50%; 
  transform: translate(-50%, 50%); 
} 
",Gauge_icon.png,
The system shall display temperature readings using a thermometer visualization.,Thermometer Widget,rectangular,196x20,black,temperature monitoring in automotive and industrial setups.,"Industry, Automotive, consumer electrnoics",main_content_zone,"{
  ""thermometer-container"": {
    ""position"": ""relative"",
    ""width"": ""20px"",
    ""height"": ""120px"",
    ""backgroundColor"": ""black"",
    ""borderRadius"": ""10px"",
    ""margin"": ""auto""
  },
  ""thermometer-bulb"": {
    ""position"": ""absolute"",
    ""bottom"": ""-30px"",
    ""left"": ""-20px"",
    ""width"": ""60px"",
    ""height"": ""60px"",
    ""backgroundColor"": ""black"",
    ""borderRadius"": ""50%""
  },
  ""bar1"": {
    ""position"": ""absolute"",
    ""right"": ""-30px"",
    ""top"": ""15px"",
    ""width"": ""40px"",
    ""height"": ""10px"",
    ""backgroundColor"": ""black""
  },
  ""bar2"": {
    ""position"": ""absolute"",
    ""right"": ""-30px"",
    ""top"": ""45px"",
    ""width"": ""40px"",
    ""height"": ""10px"",
    ""backgroundColor"": ""black""
  },
  ""bar3"": {
    ""position"": ""absolute"",
    ""right"": ""-30px"",
    ""top"": ""75px"",
    ""width"": ""40px"",
    ""height"": ""10px"",
    ""backgroundColor"": ""black""
  },
  ""wave1"": {
    ""position"": ""absolute"",
    ""bottom"": ""-60px"",
    ""left"": ""-40px"",
    ""width"": ""150px"",
    ""height"": ""20px"",
    ""backgroundImage"": ""repeating-linear-gradient(90deg, transparent, transparent 5px, black 5px, black 15px)"",
    ""borderBottom"": ""5px solid black"",
    ""borderTopLeftRadius"": ""10px"",
    ""borderTopRightRadius"": ""10px""
  },
  ""wave2"": {
    ""position"": ""absolute"",
    ""bottom"": ""-80px"",
    ""left"": ""-40px"",
    ""width"": ""150px"",
    ""height"": ""20px"",
    ""backgroundImage"": ""repeating-linear-gradient(90deg, transparent, transparent 5px, black 5px, black 15px)"",
    ""borderBottom"": ""5px solid black"",
    ""borderTopLeftRadius"": ""10px"",
    ""borderTopRightRadius"": ""10px""
  }
}",Thermometer Widget_icon.png,
The system shall display a real-time compass for directional guidance.,Compass,circular,172x172,black,navigation systems in automotive and marine dashboards,"Industry, Automotive, consumer electrnoics",main_content_zone,"{
  ""compass-container"": {
    ""position"": ""relative"",
    ""width"": ""200px"",
    ""height"": ""200px"",
    ""border"": ""8px solid black"",
    ""borderRadius"": ""50%"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center""
  },
  ""compass-needle"": {
    ""position"": ""absolute"",
    ""width"": ""4px"",
    ""height"": ""90px"",
    ""backgroundColor"": ""black"",
    ""transformOrigin"": ""bottom center"",
    ""transform"": ""rotate(0deg)""
  },
  ""needle-tip"": {
    ""position"": ""absolute"",
    ""top"": ""10px"",
    ""left"": ""calc(50% - 8px)"",
    ""width"": ""0"",
    ""height"": ""0"",
    ""borderLeft"": ""8px solid transparent"",
    ""borderRight"": ""8px solid transparent"",
    ""borderBottom"": ""20px solid white""
  },
  ""direction-n"": {
    ""position"": ""absolute"",
    ""top"": ""5px"",
    ""left"": ""50%"",
    ""transform"": ""translateX(-50%)"",
    ""fontWeight"": ""bold""
  },
  ""direction-s"": {
    ""position"": ""absolute"",
    ""bottom"": ""5px"",
    ""left"": ""50%"",
    ""transform"": ""translateX(-50%)"",
    ""fontWeight"": ""bold""
  },
  ""direction-e"": {
    ""position"": ""absolute"",
    ""top"": ""50%"",
    ""right"": ""5px"",
    ""transform"": ""translateY(-50%)"",
    ""fontWeight"": ""bold""
  },
  ""direction-w"": {
    ""position"": ""absolute"",
    ""top"": ""50%"",
    ""left"": ""5px"",
    ""transform"": ""translateY(-50%)"",
    ""fontWeight"": ""bold""
  }
}",Compass_icon.png,
The system shall provide an interactive map for location-based services.,Map Widget,Square,400x400,grey,"vehicle GPS, delivery tracking, and industrial site maps","Industry, Automotive, consumer electrnoics",main_content_zone,"/* Container to simulate the widget */
.map-widget {
  width: 100px;
  height: 140px;
  position: relative;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Pin shape */
.pin {
  width: 100px;
  height: 140px;
  background-color: black;
  border-radius: 50% 50% 50% 50% / 60% 60% 40% 40%;
  position: relative;
  clip-path: polygon(50% 100%, 0 40%, 0 30%, 50% 0%, 100% 30%, 100% 40%);
}

/* Inner white circle */
.pin .circle {
  position: absolute;
  top: 25%;
  left: 25%;
  width: 50px;
  height: 50px;
  background-color: white;
  border-radius: 50%;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Car icon */
.pin .circle .car {
  font-size: 24px;
  color: black;
}",Map Widget_icon.png,
The system shall include line separators for content organization.,Line Separator,rectangular,20x196,black,dividing sections in automotive dashboards and control panels,"Industry, Automotive, consumer electrnoics",main_content_zone,,Line Separator_icon.png,
The system shall support card-based UI elements for structured content.,Card Widget,Square,150x150,black,"data display in analytics, vehicle performance stats","Industry, Automotive, consumer electrnoics",main_content_zone,,Card Widget_icon.png,
The system shall provide a stepper widget to indicate progress in a multi-step process.,Stepper Widget,rectangular,196x40,black,process steps in industrial automation and e-commerce checkout flows,"Industry, Automotive, consumer electrnoics",main_content_zone,,Stepper Widget_icon.png,
Users should be able to personalize their profile with a recognizable image or icon.,Logo/Avatar,Square,100x100,black,,,header_zone,"{
  ""avatar-container"": {
    ""position"": ""relative"",
    ""width"": ""100px"",
    ""height"": ""100px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""50%"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""boxSizing"": ""border-box""
  },
  ""avatar-head"": {
    ""position"": ""absolute"",
    ""top"": ""20px"",
    ""width"": ""30px"",
    ""height"": ""30px"",
    ""backgroundColor"": ""black"",
    ""borderRadius"": ""50%""
  },
  ""avatar-body"": {
    ""position"": ""absolute"",
    ""top"": ""50px"",
    ""width"": ""40px"",
    ""height"": ""30px"",
    ""borderTop"": ""4px solid black"",
    ""borderLeft"": ""4px solid black"",
    ""borderRight"": ""4px solid black"",
    ""borderBottom"": ""none"",
    ""borderRadius"": ""20px 20px 0 0""
  }
}",Logo/Avatar_icon.png,
A small notification should appear briefly to inform users of recent actions.,Toast bar,rectangular,240x164,black,,,header_zone,,Toast bar_icon.png,
Users should receive subtle feedback at the bottom of the screen with an option to respond.,Snack bar,rectangular,240x48,black,,,header_zone,,Snack bar_icon.png,
Important messages should grab attention by appearing in the center of the screen.,Pop-up,rectangular,400x300,black,,,header_zone,,Pop-up_icon.png,
Users should be guided to enter information with structured fields and prompts.,Form,rectangular,400x600,blue,,,main_content_zone,,Form_icon.png,
A small visual cue should highlight status changes without being intrusive.,Indicator,Square,200x200,black,,,main_content_zone,,Indicator_icon.png,
Users should be able to watch media with essential playback controls.,Video,rectangular,400x600,black,,,main_content_zone,".video-component {
  width: 400px;
  height: 300px;
  border: 4px solid black; /* Outer video frame */
  background-color: white;
  position: relative;
  display: flex;
  justify-content: center;
  align-items: center;
  border-radius: 12px;
  overflow: hidden;
}

/* Top clapboard bar */
.video-component .clapboard {
  width: 100%;
  height: 50px;
  background-color: lightgray;
  border-bottom: 2px solid black;
  display: flex;
  justify-content: space-evenly;
  align-items: center;
}

/* Diagonal lines on the clapboard */
.video-component .clapboard div {
  width: 30px;
  height: 100%;
  background-color: black;
  clip-path: polygon(0 0, 100% 0, 0% 100%, 0 100%);
}

/* Play button */
.video-component .play-button {
  width: 0;
  height: 0;
  border-left: 40px solid black;
  border-top: 25px solid transparent;
  border-bottom: 25px solid transparent;
  position: absolute;
}",Video_icon.png,
Information should be displayed in an easy-to-scan vertical format.,List,rectangular,50x150,grey,,,main_content_zone,,List_icon.png,
A fixed bar should help users move between key sections effortlessly.,Navigation bar,rectangular,60x800,grey,,,navigation_zone,".hamburger {
  width: 35px;
  height: 25px;
  display: flex;
  flex-direction: column;
  justify-content: space-between;
  cursor: pointer;
}
 
.hamburger div {
  height: 6px;
  background-color: black;
  border-radius: 10px;
  transition: all 0.3s ease;
}",Navigation bar_icon.png,
Users should choose a single option from a group by selecting a circular control.,Radio Button,Square,50x50,grey,,,main_content_zone,"/* Container for the radio button */
.radio-button {
  width: 24px;
  height: 24px;
  border: 4px solid black; /* Outer ring */
  border-radius: 50%;       /* Makes it circular */
  display: flex;
  justify-content: center;
  align-items: center;
  background-color: white;  /* Background behind inner dot */
}

/* Inner filled circle (selected state) */
.radio-button .inner-circle {
  width: 12px;
  height: 12px;
  background-color: black;  /* Inner dot color */
  border-radius: 50%;       /* Makes it circular */
}",Radio Button_icon.png,
A prominent section should highlight key information or promotions.,Banner,rectangular,800x200,black,,,header_zone,,Banner_icon.png,
A structured layout should offer users a way to access different features quickly.,Menu,rectangular,40x600,grey,,,main_content_zone,".bullet-list {
  display: flex;
  flex-direction: column;
  gap: 12px;
}
 
.bullet-item {
  display: flex;
  align-items: center;
  gap: 12px;
}
 
.bullet-circle {
  width: 20px;
  height: 20px;
  background-color: black;
  border-radius: 50%;
}
 
.bullet-bar {
  width: 160px;
  height: 20px;
  background-color: black;
  border-radius: 10px;
}",Menu_icon.png,
Users should interact with the system using tappable elements.,Button,rectangular,36x160,black,,,main_content_zone,,Button_icon.png,
Small symbolic graphics should help users recognize functions at a glance.,Icon,Square,64x64,grey,,,header_zone,,Icon_icon.png,
"Users should be able to take action using compact, icon-based controls.",Icon button,rectangular,36x200,grey,,,header_zone,,Icon button_icon.png,
A simple switch should allow users to enable or disable a setting easily.,Toggle switch button,rectangular,24x48,grey,,,main_content_zone,"{
  ""toggleSwitchWrapper"": {
    ""width"": ""50px"",
    ""height"": ""25px"",
    ""backgroundColor"": ""lightgray"",
    ""borderRadius"": ""25px"",
    ""position"": ""relative"",
    ""cursor"": ""pointer"",
    ""transition"": ""background-color 0.3s""
  },
  ""toggleSwitchKnob"": {
    ""width"": ""23px"",
    ""height"": ""23px"",
    ""backgroundColor"": ""white"",
    ""borderRadius"": ""50%"",
    ""position"": ""absolute"",
    ""top"": ""1px"",
    ""left"": ""1px"",
    ""transition"": ""left 0.3s""
  },
  ""toggleSwitchWrapperOn"": {
    ""backgroundColor"": ""green""
  },
  ""toggleSwitchKnobOn"": {
    ""left"": ""26px""
  }
}",Toggle switch button_icon.png,
